"id";"cpu_percent";"ram_percent";"disk_percent";"download";"upload";"temp_celsius";"swap_percent";"tasks";"clock";"dataHora"
162;"20.8";"47.1";"48.5";"23.2";"10.6";"44.8";"62.0";"212.2";"3914.0";"2020-10-16 14:58:07"
163;"15.3";"47.1";"48.5";"23.4";"10.2";"45.0";"62.0";"212.0";"3919.0";"2020-10-16 14:58:12"
164;"25.9";"46.9";"48.5";"23.6";"10.6";"46.8";"61.9";"211.0";"3909.0";"2020-10-16 14:58:17"
165;"25.5";"46.9";"48.5";"24.2";"11.2";"46.4";"61.9";"210.6";"3909.0";"2020-10-16 14:58:22"
166;"21.6";"45.9";"48.5";"23.0";"10.6";"46.8";"59.5";"206.6";"3909.0";"2020-10-16 14:58:27"
167;"28.4";"46.0";"48.5";"38.8";"19.4";"51.0";"59.0";"206.0";"3929.0";"2020-10-16 14:58:32"
168;"36.6";"46.4";"48.5";"228.8";"18.0";"47.4";"59.9";"206.6";"3904.0";"2020-10-16 14:58:37"
169;"27.1";"46.7";"48.5";"112.0";"13.6";"50.2";"60.5";"207.0";"3909.0";"2020-10-16 14:58:43"
170;"14.4";"46.3";"48.5";"33.8";"16.4";"48.2";"59.1";"206.0";"3904.0";"2020-10-16 14:58:48"
171;"14.1";"46.2";"48.5";"43.6";"15.2";"44.2";"59.0";"205.2";"3919.0";"2020-10-16 14:58:53"
172;"26.6";"46.2";"48.5";"53.8";"16.0";"48.2";"59.0";"206.4";"3909.0";"2020-10-16 14:58:58"
173;"15.2";"46.4";"48.5";"36.8";"16.0";"45.0";"59.3";"210.0";"3909.0";"2020-10-16 14:59:03"
174;"26.5";"46.4";"48.5";"77.6";"12.8";"48.8";"59.6";"210.0";"3914.0";"2020-10-16 14:59:08"
175;"19.7";"46.5";"48.5";"39.4";"15.4";"46.8";"59.9";"210.0";"3914.0";"2020-10-16 14:59:13"
176;"32.2";"46.5";"48.5";"38.0";"12.6";"50.4";"59.8";"210.0";"3904.0";"2020-10-16 14:59:18"
177;"21.7";"46.4";"48.5";"53.4";"14.0";"48.0";"59.7";"209.2";"3904.0";"2020-10-16 14:59:24"
178;"14.2";"46.3";"48.5";"89.0";"16.0";"45.2";"59.5";"206.6";"3914.0";"2020-10-16 14:59:29"
179;"10.8";"46.3";"48.5";"65.2";"13.8";"45.4";"59.5";"206.0";"3919.0";"2020-10-16 14:59:34"
180;"23.7";"46.5";"48.5";"83.8";"14.4";"45.8";"59.9";"208.4";"3909.0";"2020-10-16 14:59:39"
181;"25.0";"46.7";"48.5";"287.6";"24.0";"51.2";"60.2";"209.4";"3909.0";"2020-10-16 14:59:44"
182;"31.4";"46.8";"48.5";"49.8";"17.0";"47.0";"60.3";"209.0";"3904.0";"2020-10-16 14:59:49"
183;"23.5";"46.4";"48.5";"29.2";"13.0";"47.0";"59.6";"205.6";"3748.8";"2020-10-16 14:59:54"
184;"23.1";"46.4";"48.5";"27.8";"12.2";"49.8";"59.5";"207.6";"3909.0";"2020-10-16 15:00:00"
185;"11.6";"46.5";"48.5";"94.2";"16.0";"44.0";"59.6";"209.0";"3919.0";"2020-10-16 15:00:05"
186;"8.9";"46.4";"48.5";"75.2";"14.8";"44.2";"59.5";"209.0";"3904.0";"2020-10-16 15:00:10"
187;"9.8";"46.5";"48.5";"109.8";"12.8";"45.2";"59.6";"209.0";"3904.0";"2020-10-16 15:00:15"
188;"15.1";"46.4";"48.5";"55.0";"13.6";"45.4";"59.5";"209.0";"3909.0";"2020-10-16 15:00:20"
189;"14.2";"46.4";"48.5";"32.8";"13.2";"44.8";"59.5";"207.4";"3914.0";"2020-10-16 15:00:25"
190;"14.7";"46.5";"48.5";"32.8";"13.4";"45.2";"59.5";"206.6";"3904.0";"2020-10-16 15:00:30"
191;"13.7";"46.4";"48.5";"68.0";"12.4";"44.4";"59.4";"207.0";"3909.0";"2020-10-16 15:00:35"
192;"12.7";"46.4";"48.5";"300.0";"14.4";"46.8";"59.4";"206.0";"3909.0";"2020-10-16 15:00:41"
193;"14.2";"46.4";"48.5";"309.0";"14.0";"44.0";"59.4";"206.0";"3914.0";"2020-10-16 15:00:46"
194;"13.1";"46.4";"48.5";"369.6";"14.4";"45.4";"59.4";"206.0";"3914.0";"2020-10-16 15:00:51"
195;"13.4";"46.2";"48.5";"375.4";"14.6";"44.8";"59.3";"204.8";"3909.0";"2020-10-16 15:00:56"
196;"22.6";"46.4";"48.5";"183.4";"12.8";"48.2";"59.4";"208.6";"3914.0";"2020-10-16 15:01:01"
197;"10.7";"46.4";"48.5";"101.8";"13.0";"45.4";"59.4";"209.0";"3914.0";"2020-10-16 15:01:06"
198;"11.8";"46.4";"48.5";"36.6";"15.6";"44.4";"59.4";"209.0";"3929.0";"2020-10-16 15:01:11"
199;"14.2";"46.4";"48.5";"32.4";"12.6";"44.4";"59.4";"209.0";"3909.0";"2020-10-16 15:01:16"
200;"14.9";"46.4";"48.5";"33.6";"13.2";"44.0";"59.4";"209.0";"3919.0";"2020-10-16 15:01:22"
201;"13.5";"46.3";"48.5";"39.6";"12.6";"44.8";"59.4";"206.8";"3904.0";"2020-10-16 15:01:27"
202;"14.6";"46.4";"48.5";"33.8";"13.0";"44.2";"59.5";"207.8";"3909.0";"2020-10-16 15:01:32"
203;"10.8";"46.5";"48.5";"44.6";"11.6";"44.0";"59.7";"209.0";"3909.0";"2020-10-16 15:01:37"
204;"14.0";"46.5";"48.5";"185.8";"12.4";"44.8";"59.6";"209.0";"3904.0";"2020-10-16 15:01:42"
205;"11.5";"46.3";"48.5";"138.4";"12.2";"43.8";"59.5";"207.8";"3919.0";"2020-10-16 15:01:47"
206;"13.1";"46.3";"48.5";"88.2";"13.4";"43.6";"59.4";"206.6";"3904.0";"2020-10-16 15:01:52"
207;"16.8";"46.2";"48.5";"74.2";"13.6";"46.4";"59.4";"206.6";"3909.0";"2020-10-16 15:01:57"
208;"14.0";"46.3";"48.5";"96.6";"15.0";"46.4";"59.5";"210.0";"3914.0";"2020-10-16 15:02:02"
209;"8.6";"46.4";"48.5";"117.6";"13.2";"43.4";"59.5";"210.0";"3909.0";"2020-10-16 15:02:08"
210;"9.7";"46.4";"48.5";"213.0";"14.4";"46.4";"59.5";"210.0";"3904.0";"2020-10-16 15:02:13"
211;"13.2";"46.4";"48.5";"221.4";"13.6";"44.4";"59.5";"210.0";"3914.0";"2020-10-16 15:02:18"
212;"9.3";"46.4";"48.5";"118.8";"16.0";"42.2";"59.5";"209.2";"3919.0";"2020-10-16 15:02:23"
213;"10.4";"46.3";"48.5";"195.6";"13.2";"44.0";"59.4";"207.4";"3909.0";"2020-10-16 15:02:28"
214;"8.1";"46.3";"48.5";"188.2";"13.2";"43.4";"59.4";"207.0";"3914.0";"2020-10-16 15:02:33"
215;"11.1";"46.3";"48.5";"36.4";"11.8";"42.4";"59.4";"207.0";"3924.0";"2020-10-16 15:02:38"
